title,poster,director,writers,cast,genre,runtime,description
Uncut Gems (2019) ,"https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg","['Benny Safdie', 'Josh Safdie']","['Ronald Bronstein', 'Josh Safdie']","[['Adam Sandler', 'https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY317_CR7,0,214,317_AL_.jpg'], ['Julia Fox', 'https://m.media-amazon.com/images/M/MV5BYzU2YzA4Y2MtMTY5OS00NWEzLWFiZGQtZDJlNzkwODY1OGQ4XkEyXkFqcGdeQXVyNjg1OTI1MjA@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Idina Menzel', 'https://m.media-amazon.com/images/M/MV5BMTM3MTUyMzM4OF5BMl5BanBnXkFtZTYwNzMwOTI4._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama', 'Thriller']",2h 15min,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
The Way Back (2020) ,"https://m.media-amazon.com/images/M/MV5BYjJmOWE3ZTAtOTEzMC00OTEzLWJlMWUtYjA3ZDQwYTE5YmUyXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","[""Gavin O'Connor""]","['Brad Ingelsby', ""Gavin O'Connor""]","[['Ben Affleck', 'https://m.media-amazon.com/images/M/MV5BMTI4MzIxMTk0Nl5BMl5BanBnXkFtZTcwOTU5NjA0Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Al Madrigal', 'https://m.media-amazon.com/images/M/MV5BMjllOTk2ZDMtMWQ1Zi00YjM3LWFiOWQtNjk1ZmYwYmU2YzZhXkEyXkFqcGdeQXVyODkxODYyMzI@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Janina Gavankar', 'https://m.media-amazon.com/images/M/MV5BN2Q0NzhjZDktNTg5Yi00YTIwLWJhN2UtZDg3ZDk0NDQ4ZjcyXkEyXkFqcGdeQXVyMDUxNjM5Mw@@._V1_UY317_CR17,0,214,317_AL_.jpg']]","['Drama', 'Sport']",1h 48min,"Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption."
Once Upon a Time... in Hollywood (2019) ,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Quentin Tarantino'],['Quentin Tarantino'],"[['Leonardo DiCaprio', 'https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY317_CR10,0,214,317_AL_.jpg'], ['Brad Pitt', 'https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Margot Robbie', 'https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Comedy', 'Drama']",2h 41min,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.
The Call of the Wild (2020) ,"https://m.media-amazon.com/images/M/MV5BNWI1YzQwMDQtNzczMC00YWQ2LThmNjMtMThkMTFhNjBmMmQ3XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Chris Sanders'],"['Michael Green', 'Jack London']","[['Harrison Ford', 'https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Omar Sy', 'https://m.media-amazon.com/images/M/MV5BMjI2MjE3MDQ3NV5BMl5BanBnXkFtZTcwOTY0NzU0Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Cara Gee', 'https://m.media-amazon.com/images/M/MV5BMDU4MjM2MjQtNGFkNC00NGE3LTg4NWQtMDcyYzAxNjYwNDJiXkEyXkFqcGdeQXVyNjE4NjI4NDY@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Adventure', 'Drama', 'Family']",1h 40min,A sled dog struggles for survival in the wilds of the Yukon.
Joker (2019) ,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Todd Phillips'],"['Todd Phillips', 'Scott Silver']","[['Joaquin Phoenix', 'https://m.media-amazon.com/images/M/MV5BZGMyY2Q4NTEtMWVkZS00NzcwLTkzNmQtYzBlMWZhZGNhMDhkXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Robert De Niro', 'https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg'], ['Zazie Beetz', 'https://m.media-amazon.com/images/M/MV5BNjEwNzEwYjQtYWUwNy00YWZlLWE5ZmQtMDBiMjc5ZjdiMjc1XkEyXkFqcGdeQXVyNjEyNzc2MTI@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama', 'Thriller']",2h 2min,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Little Women (2019) ,"https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Greta Gerwig'],"['Greta Gerwig', 'Louisa May Alcott']","[['Saoirse Ronan', 'https://m.media-amazon.com/images/M/MV5BMjExNTM5NDE4NV5BMl5BanBnXkFtZTcwNzczMzEzOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Emma Watson', 'https://m.media-amazon.com/images/M/MV5BMTQ3ODE2NTMxMV5BMl5BanBnXkFtZTgwOTIzOTQzMjE@._V1_UY317_CR21,0,214,317_AL_.jpg'], ['Florence Pugh', 'https://m.media-amazon.com/images/M/MV5BNTk4YWEwOGEtMDBhZS00OTc0LThjZGQtMjU4YjZhM2Q1YjdlXkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY317_CR3,0,214,317_AL_.jpg']]","['Drama', 'Romance']",2h 15min,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women each determined to live life on their own terms."
Frozen II (2019) ,"https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","['Chris Buck', 'Jennifer Lee']",['Jennifer Lee'],"[['Kristen Bell', 'https://m.media-amazon.com/images/M/MV5BMjA1Njc0MTUzN15BMl5BanBnXkFtZTgwNTg1MjEwNDI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Idina Menzel', 'https://m.media-amazon.com/images/M/MV5BMTM3MTUyMzM4OF5BMl5BanBnXkFtZTYwNzMwOTI4._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Josh Gad', 'https://m.media-amazon.com/images/M/MV5BMzU0MDIxYzktNmZiZC00ODcwLWIyYWMtNzI3MjhlMTA2MzhiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR29,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",1h 43min,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
The Batman (2021) ,"https://m.media-amazon.com/images/M/MV5BZjE4MTdhNGYtMjA1My00ODU1LTg0NzQtZDdiMmY0Y2E4NzY1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY268_CR9,0,182,268_AL_.jpg",['Matt Reeves'],"['Bill Finger', 'Bob Kane']","[['Robert Pattinson', 'https://m.media-amazon.com/images/M/MV5BNzk0MDQ5OTUxMV5BMl5BanBnXkFtZTcwMDM5ODk5Mg@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Zoë Kravitz', 'https://m.media-amazon.com/images/M/MV5BNzk0MjE4NDYwOF5BMl5BanBnXkFtZTgwNjc5MzU1MDI@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Colin Farrell', 'https://m.media-amazon.com/images/M/MV5BMTg4NzM5NDk0MV5BMl5BanBnXkFtZTcwNzAzMTUxNw@@._V1_UY317_CR3,0,214,317_AL_.jpg']]","['Action', 'Crime', 'Drama']",---,The plot is unknown.
Ford v Ferrari: The IMAX 2D Experience (2019) ,"https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UX182_CR0,0,182,268_AL_.jpg",['James Mangold'],"['Jez Butterworth', 'John-Henry Butterworth']","[['Matt Damon', 'https://m.media-amazon.com/images/M/MV5BMTM0NzYzNDgxMl5BMl5BanBnXkFtZTcwMDg2MTMyMw@@._V1_UY317_CR11,0,214,317_AL_.jpg'], ['Christian Bale', 'https://m.media-amazon.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jon Bernthal', 'https://m.media-amazon.com/images/M/MV5BMTcwNzA5MDg0OV5BMl5BanBnXkFtZTcwMTU2NjE0Nw@@._V1_UY317_CR9,0,214,317_AL_.jpg']]","['Action', 'Biography', 'Drama']",2h 32min,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Bombshell (2019) ,"https://m.media-amazon.com/images/M/MV5BZjlhOWE3YjktY2MzOC00ZmQ1LWIwNjgtZmVhZmFjZGExMzgyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jay Roach'],['Charles Randolph'],"[['Charlize Theron', 'https://m.media-amazon.com/images/M/MV5BMTk5Mzc4ODU0Ml5BMl5BanBnXkFtZTcwNjU1NTI0Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Nicole Kidman', 'https://m.media-amazon.com/images/M/MV5BMTk1MjM5NDg4MF5BMl5BanBnXkFtZTcwNDg1OTQ4Nw@@._V1_UY317_CR10,0,214,317_AL_.jpg'], ['Margot Robbie', 'https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Biography', 'Drama']",1h 49min,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.
The Hunt (2020) ,"https://m.media-amazon.com/images/M/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Craig Zobel'],"['Nick Cuse', 'Damon Lindelof']","[['Betty Gilpin', 'https://m.media-amazon.com/images/M/MV5BMTY3NDY3NjM5OV5BMl5BanBnXkFtZTgwNTQ0NTUzNjM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Hilary Swank', 'https://m.media-amazon.com/images/M/MV5BNWNjZjc1NTYtZmY2Mi00MjZhLWE4ZjYtYTMyNWFmYjRkZDdmXkEyXkFqcGdeQXVyMTAyNzUwOTA5._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Ike Barinholtz', 'https://m.media-amazon.com/images/M/MV5BMjE1NDY0NjMwOV5BMl5BanBnXkFtZTgwMDE4MTYxMDI@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Horror', 'Thriller']",1h 29min,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt."
The Last Thing He Wanted (2020) ,"https://m.media-amazon.com/images/M/MV5BMWI3ODZlNjgtNWM4OC00MDFhLTg2MmYtYjk3M2I0OWJmZmE2XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",['Dee Rees'],"['Marco Villalobos', 'Dee Rees']","[['Anne Hathaway', 'https://m.media-amazon.com/images/M/MV5BNjQ5MTAxMDc5OF5BMl5BanBnXkFtZTcwOTI0OTE4OA@@._V1_UY317_CR1,0,214,317_AL_.jpg'], ['Ben Affleck', 'https://m.media-amazon.com/images/M/MV5BMTI4MzIxMTk0Nl5BMl5BanBnXkFtZTcwOTU5NjA0Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Rosie Perez', 'https://m.media-amazon.com/images/M/MV5BODE2ODY5MjU0NV5BMl5BanBnXkFtZTcwMjE3MzQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama', 'Mystery']",1h 55min,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.
Candyman (1992) ,"https://m.media-amazon.com/images/M/MV5BYjVjYjhlNTQtN2UxOC00Njk5LWFjNDctODNjZTI1ZGM0ZDZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",['Bernard Rose'],"['Clive Barker', 'Bernard Rose']","[['Virginia Madsen', 'https://m.media-amazon.com/images/M/MV5BNjUyMDcxNTU3N15BMl5BanBnXkFtZTcwMDAwNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Xander Berkeley', 'https://m.media-amazon.com/images/M/MV5BMTAwMjA1OTEwOTheQTJeQWpwZ15BbWU2MDkxODgxMw@@._V1_UY317_CR21,0,214,317_AL_.jpg'], ['Tony Todd', 'https://m.media-amazon.com/images/M/MV5BMTUzNTI1Njc4NV5BMl5BanBnXkFtZTcwMDg4NzcyNg@@._V1_UY317_CR22,0,214,317_AL_.jpg']]","['Horror', 'Thriller']",1h 39min,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth."
Connected (2020) ,"https://m.media-amazon.com/images/M/MV5BNjE0ZGQyZDAtMmZmOS00MGI3LTgyZWEtM2VhZTQxZDM2Mjk3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","['Michael Rianda', 'Jeff Rowe']","['Michael Rianda', 'Jeff Rowe']","[['Olivia Colman', 'https://m.media-amazon.com/images/M/MV5BN2ExMjc5MTQtNzYyYi00OTRiLTgzNmItNjFmMDU3MmQyMGY2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY317_CR131,0,214,317_AL_.jpg'], ['Abbi Jacobson', 'https://m.media-amazon.com/images/M/MV5BMTY3NTUxMzcwOF5BMl5BanBnXkFtZTgwNDg0NTQ5MDE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Danny McBride', 'https://m.media-amazon.com/images/M/MV5BMTk5NTM0ODI4NF5BMl5BanBnXkFtZTcwNzg3MjY0Mg@@._V1_UY317_CR16,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",---,Katie Mitchell is accepted into the film school of her dreams. Her whole family drives Katie to school together when their plans are interrupted by a tech uprising. The Mitchells will have to work together to save the world.
Dark Waters (2019) ,"https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Todd Haynes'],"['Nathaniel Rich', 'Mario Correa']","[['Mark Ruffalo', 'https://m.media-amazon.com/images/M/MV5BNDQyNzMzZTMtYjlkNS00YzFhLWFhMTctY2M4YmQ1NmRhODBkXkEyXkFqcGdeQXVyNjcyNzgyOTE@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Anne Hathaway', 'https://m.media-amazon.com/images/M/MV5BNjQ5MTAxMDc5OF5BMl5BanBnXkFtZTcwOTI0OTE4OA@@._V1_UY317_CR1,0,214,317_AL_.jpg'], ['Tim Robbins', 'https://m.media-amazon.com/images/M/MV5BMTI1OTYxNzAxOF5BMl5BanBnXkFtZTYwNTE5ODI4._V1_UY317_CR16,0,214,317_AL_.jpg']]","['Biography', 'Drama', 'History']",2h 6min,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
A Quiet Place Part II (2020) ,"https://m.media-amazon.com/images/M/MV5BMmE3OGY2NzMtMGJmOS00NGViLWI4NjYtMjhlNTMxZjA5MDExXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['John Krasinski'],"['Scott Beck', 'John Krasinski']","[['Emily Blunt', 'https://m.media-amazon.com/images/M/MV5BMTUxNDY4MTMzM15BMl5BanBnXkFtZTcwMjg5NzM2Ng@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Millicent Simmonds', 'https://m.media-amazon.com/images/M/MV5BZDY5OTJiMWQtYjgxYi00NmFmLTg5ODMtMTU1Yzc4YWQ4NDVkXkEyXkFqcGdeQXVyMTE0MTg2MTMw._V1_UY317_CR21,0,214,317_AL_.jpg'], ['Cillian Murphy', 'https://m.media-amazon.com/images/M/MV5BMTUzMjg1NzIyOV5BMl5BanBnXkFtZTYwMzg2Mjgy._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Horror', 'Thriller']",1h 37min,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
Contagion (2011) ,"https://m.media-amazon.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Steven Soderbergh'],['Scott Z. Burns'],"[['Matt Damon', 'https://m.media-amazon.com/images/M/MV5BMTM0NzYzNDgxMl5BMl5BanBnXkFtZTcwMDg2MTMyMw@@._V1_UY317_CR11,0,214,317_AL_.jpg'], ['Kate Winslet', 'https://m.media-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jude Law', 'https://m.media-amazon.com/images/M/MV5BMTMwOTg5NTQ3NV5BMl5BanBnXkFtZTcwNzM3MDAzNQ@@._V1_UY317_CR6,0,214,317_AL_.jpg']]","['Action', 'Drama', 'Sci-Fi']",1h 46min,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure."
Bloodshot (2020) ,"https://m.media-amazon.com/images/M/MV5BYjA5YjA2YjUtMGRlNi00ZTU4LThhZmMtNDc0OTg4ZWExZjI3XkEyXkFqcGdeQXVyNjUyNjI3NzU@._V1_UY268_CR16,0,182,268_AL_.jpg",['Dave Wilson'],"['Jeff Wadlow', 'Eric Heisserer']","[['Vin Diesel', 'https://m.media-amazon.com/images/M/MV5BMjExNzA4MDYxN15BMl5BanBnXkFtZTcwOTI1MDAxOQ@@._V1_UY317_CR7,0,214,317_AL_.jpg'], ['Eiza González', 'https://m.media-amazon.com/images/M/MV5BYjI0MjU0YjgtNzRkZC00ZGNlLWEyMzMtOGM2MDEzZDFlYmRjXkEyXkFqcGdeQXVyNjA1OTA1Njk@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Sam Heughan', 'https://m.media-amazon.com/images/M/MV5BMTUwNzAyMzA2MF5BMl5BanBnXkFtZTgwNzA0MjQ1ODE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Drama', 'Sci-Fi']",1h 49min,"Ray Garrison, a slain soldier, is re-animated with superpowers."
Midsommar (2019) ,"https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_UX182_CR0,0,182,268_AL_.jpg",['Ari Aster'],['Ari Aster'],"[['Florence Pugh', 'https://m.media-amazon.com/images/M/MV5BNTk4YWEwOGEtMDBhZS00OTc0LThjZGQtMjU4YjZhM2Q1YjdlXkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Jack Reynor', 'https://m.media-amazon.com/images/M/MV5BMDg2Y2Q2YjItMjllZS00MzY5LTgyYTgtYjhkMTVlMmE0MWE4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Vilhelm Blomgren', 'https://m.media-amazon.com/images/M/MV5BMTU4N2UzY2EtNjkzYS00ZmYwLTkxMTEtN2QzMzNhYzZmYjg5XkEyXkFqcGdeQXVyMTA5ODg0OTgw._V1_UY317_CR6,0,214,317_AL_.jpg']]","['Drama', 'Horror', 'Mystery']",2h 28min,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
