title,poster,director,writers,cast,genre,runtime,description
Alita: Battle Angel (2019) ,"https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Robert Rodriguez'],"['James Cameron', 'Laeta Kalogridis']","[['Rosa Salazar', 'https://m.media-amazon.com/images/M/MV5BM2FkNDAwMDItMWQwNy00YzE5LWJiM2EtZmNhZTZjZDk1YmJlXkEyXkFqcGdeQXVyMjQwMTcxMzA@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Christoph Waltz', 'https://m.media-amazon.com/images/M/MV5BMTM4MDk3OTYxOF5BMl5BanBnXkFtZTcwMDk5OTUwOQ@@._V1_UY317_CR9,0,214,317_AL_.jpg'], ['Jennifer Connelly', 'https://m.media-amazon.com/images/M/MV5BOTczNTgzODYyMF5BMl5BanBnXkFtZTcwNjk4ODk4Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Sci-Fi']",2h 2min,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is."
Toy Story 4 (2019) ,"https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",['Josh Cooley'],"['John Lasseter', 'Andrew Stanton']","[['Tom Hanks', 'https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Tim Allen', 'https://m.media-amazon.com/images/M/MV5BMTI5ODY0NTAwOF5BMl5BanBnXkFtZTcwOTI3NjQxMw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Annie Potts', 'https://m.media-amazon.com/images/M/MV5BMjA0NjkyMDIzMF5BMl5BanBnXkFtZTcwNjc2NTUyMQ@@._V1_UY317_CR11,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",1h 40min,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
Jumanji: Welcome to the Jungle (2017) ,"https://m.media-amazon.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jake Kasdan'],"['Chris McKenna', 'Erik Sommers']","[['Dwayne Johnson', 'https://m.media-amazon.com/images/M/MV5BMTkyNDQ3NzAxM15BMl5BanBnXkFtZTgwODIwMTQ0NTE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Karen Gillan', 'https://m.media-amazon.com/images/M/MV5BMTQwMDQ0NDk1OV5BMl5BanBnXkFtZTcwNDcxOTExNg@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Kevin Hart', 'https://m.media-amazon.com/images/M/MV5BMTY4OTAxMjkxN15BMl5BanBnXkFtZTgwODg5MzYyMTE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Comedy']",1h 59min,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Godzilla: King of the Monsters (2019) ,"https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Michael Dougherty'],"['Michael Dougherty', 'Zach Shields']","[['Kyle Chandler', 'https://m.media-amazon.com/images/M/MV5BNTM5NDM4ODg3MV5BMl5BanBnXkFtZTcwNTA3MTk3Mw@@._V1_UY317_CR0,0,214,317_AL_.jpg'], ['Vera Farmiga', 'https://m.media-amazon.com/images/M/MV5BMTM3NzMwNTc1MV5BMl5BanBnXkFtZTcwNDE2ODU2OA@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Millie Bobby Brown', 'https://m.media-amazon.com/images/M/MV5BMjA5NzA0NzQzMF5BMl5BanBnXkFtZTgwMTQxNjUzNjM@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Fantasy']",2h 12min,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah."
21 Bridges (2019) ,"https://m.media-amazon.com/images/M/MV5BYTg4YzEzNDQtZDAxOS00M2YyLTljZWEtNjk4YTc4NDM2NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Brian Kirk'],"['Adam Mervis', 'Matthew Michael Carnahan']","[['Chadwick Boseman', 'https://m.media-amazon.com/images/M/MV5BMTk2OTY5MzcwMV5BMl5BanBnXkFtZTgwODM4MDI5MjI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Sienna Miller', 'https://m.media-amazon.com/images/M/MV5BMmEyYmNjZGMtNzZlYy00NzVlLWI3ZWMtNjM4NmU3OTc4MzQ5XkEyXkFqcGdeQXVyOTE0NjgwMjY@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['J.K. Simmons', 'https://m.media-amazon.com/images/M/MV5BMzg2NTI5NzQ1MV5BMl5BanBnXkFtZTgwNjI1NDEwMDI@._V1_UY317_CR23,0,214,317_AL_.jpg']]","['Action', 'Crime', 'Drama']",1h 39min,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.
Tenet (2020) ,"https://m.media-amazon.com/images/M/MV5BNmMwYzFlNTEtYTc0NC00NGY4LTgzNzItZGFiYTViY2QzNzU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Christopher Nolan'],['Christopher Nolan'],"[['Robert Pattinson', 'https://m.media-amazon.com/images/M/MV5BNzk0MDQ5OTUxMV5BMl5BanBnXkFtZTcwMDM5ODk5Mg@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Elizabeth Debicki', 'https://m.media-amazon.com/images/M/MV5BMWRiNzczYzMtOGE1Yi00Njg0LWFkNTUtYzE3NmVkZDZkMjg5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR21,0,214,317_AL_.jpg'], ['Kenneth Branagh', 'https://m.media-amazon.com/images/M/MV5BMjI0NTQ4Mjk5Ml5BMl5BanBnXkFtZTcwMDc1NjkzNw@@._V1_UY317_CR3,0,214,317_AL_.jpg']]","['Action', 'Drama', 'Thriller']",---,"An action epic revolving around international espionage, time travel, and evolution. Possibly about a man trying to prevent World War 3 through time travel and rebirth."
It (2017) ,"https://m.media-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",['Andy Muschietti'],"['Chase Palmer', 'Cary Joji Fukunaga']","[['Bill Skarsgård', 'https://m.media-amazon.com/images/M/MV5BMTg3MzMwODMwN15BMl5BanBnXkFtZTgwNDkxODU5NTM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jaeden Martell', 'https://m.media-amazon.com/images/M/MV5BMDNlZThlYzAtMWVlYS00OTYxLWIzZTUtODFmYmJiNzJjYjgwXkEyXkFqcGdeQXVyNDYzNzE5NjU@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Finn Wolfhard', 'https://m.media-amazon.com/images/M/MV5BYjM2NmFiNGYtODQ1OC00ZTE5LTg4ZWYtYjFmODk4YmUyZDMzXkEyXkFqcGdeQXVyNjQ3NDAwOTA@._V1_UY317_CR20,0,214,317_AL_.jpg']]",['Horror'],2h 15min,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
The Wolf of Wall Street (2013) ,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",['Martin Scorsese'],"['Terence Winter', 'Jordan Belfort']","[['Leonardo DiCaprio', 'https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY317_CR10,0,214,317_AL_.jpg'], ['Jonah Hill', 'https://m.media-amazon.com/images/M/MV5BMTUyNDU0NzAwNl5BMl5BanBnXkFtZTcwMzQxMzIzNw@@._V1_UY317_CR28,0,214,317_AL_.jpg'], ['Margot Robbie', 'https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Biography', 'Crime', 'Drama']",3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
I Still Believe (2020) ,"https://m.media-amazon.com/images/M/MV5BZTczOTM1ZGEtNzkyNS00NGRmLWI3YjEtZmRlOGZmMzgzNzU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg","['Andrew Erwin', 'Jon Erwin']","['Jon Erwin', 'Jon Gunn']","[['Britt Robertson', 'https://m.media-amazon.com/images/M/MV5BMzM3NjAyNTQxOF5BMl5BanBnXkFtZTgwMDU2NDQ1ODE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['K.J. Apa', 'https://m.media-amazon.com/images/M/MV5BMTU1ODgzMzI4OF5BMl5BanBnXkFtZTgwMTY3ODg4NjM@._V1_UY317_CR16,0,214,317_AL_.jpg'], ['Melissa Roxburgh', 'https://m.media-amazon.com/images/M/MV5BNWJlZDk2YWMtNjQwZi00MTQwLWFjYjMtMWZjNzI0MDUzY2E3XkEyXkFqcGdeQXVyMjU0NjE0NDI@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Drama', 'Music', 'Romance']",1h 55min,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.
F9 (2021) ,"https://m.media-amazon.com/images/M/MV5BZDZlMjc0MTItZWY2YS00ZDJhLWI2M2MtODVjNWFmYTQxYmJjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg",['Justin Lin'],"['Daniel Casey', 'Gary Scott Thompson']","[['Nathalie Emmanuel', 'https://m.media-amazon.com/images/M/MV5BMTM3NzQ4ODU0M15BMl5BanBnXkFtZTcwMDM4Njg3OA@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Charlize Theron', 'https://m.media-amazon.com/images/M/MV5BMTk5Mzc4ODU0Ml5BMl5BanBnXkFtZTcwNjU1NTI0Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Vin Diesel', 'https://m.media-amazon.com/images/M/MV5BMjExNzA4MDYxN15BMl5BanBnXkFtZTcwOTI1MDAxOQ@@._V1_UY317_CR7,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Crime']",2h 25min,"Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team."
The Magnificent Seven (2016) ,"https://m.media-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",['Antoine Fuqua'],"['Akira Kurosawa', 'Shinobu Hashimoto']","[['Denzel Washington', 'https://m.media-amazon.com/images/M/MV5BMjE5NDU2Mzc3MV5BMl5BanBnXkFtZTcwNjAwNTE5OQ@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Chris Pratt', 'https://m.media-amazon.com/images/M/MV5BNzg3MTgwOTgzMV5BMl5BanBnXkFtZTgwODIxMTUwMjE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Ethan Hawke', 'https://m.media-amazon.com/images/M/MV5BMTk4NDMxMTI0MF5BMl5BanBnXkFtZTYwMjE3ODE0._V1_UY317_CR5,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Western']",2h 12min,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.
Snowpiercer (2013) ,"https://m.media-amazon.com/images/M/MV5BOTdjM2NmZTgtYTFlMS00ZWE1LWExNzItZWEyZGE3NjE3OWQ5XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",['Bong Joon Ho'],"['Bong Joon Ho', 'Kelly Masterson']","[['Chris Evans', 'https://m.media-amazon.com/images/M/MV5BMTU2NTg1OTQzMF5BMl5BanBnXkFtZTcwNjIyMjkyMg@@._V1_UY317_CR6,0,214,317_AL_.jpg'], ['Jamie Bell', 'https://m.media-amazon.com/images/M/MV5BZjgzMzc5MzMtNzQ4My00M2FlLTk4ZGUtNzM0ZTU2Yjc0ZGNlXkEyXkFqcGdeQXVyNjkwNzEwMzY@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Tilda Swinton', 'https://m.media-amazon.com/images/M/MV5BMTM4NzMzMTkwNV5BMl5BanBnXkFtZTcwMzU4MDg1Mw@@._V1_UY317_CR19,0,214,317_AL_.jpg']]","['Action', 'Drama', 'Sci-Fi']",2h 6min,"In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges."
He's Just Not That Into You (2009) ,"https://m.media-amazon.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Ken Kwapis'],"['Abby Kohn', 'Marc Silverstein']","[['Ginnifer Goodwin', 'https://m.media-amazon.com/images/M/MV5BY2NmODMxNzctYzA3NS00NzFiLTliYWYtMzMzNDlmM2NkMWQxXkEyXkFqcGdeQXVyMTU1MDQ2NTM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jennifer Aniston', 'https://m.media-amazon.com/images/M/MV5BNjk1MjIxNjUxNF5BMl5BanBnXkFtZTcwODk2NzM4Mg@@._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Jennifer Connelly', 'https://m.media-amazon.com/images/M/MV5BOTczNTgzODYyMF5BMl5BanBnXkFtZTcwNjk4ODk4Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Comedy', 'Drama', 'Romance']",2h 9min,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
Sen to Chihiro no kamikakushi (2001) ,"https://m.media-amazon.com/images/M/MV5BNmU5OTQ0OWQtOTY0OS00Yjg4LWE1NDYtNDRhYWMxYWY4OTMwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR3,0,182,268_AL_.jpg",['Hayao Miyazaki'],['Hayao Miyazaki'],"[['Daveigh Chase', 'https://m.media-amazon.com/images/M/MV5BMTcyMDAyMjA4NF5BMl5BanBnXkFtZTcwNjg1ODkzMg@@._V1_UY317_CR15,0,214,317_AL_.jpg'], ['Suzanne Pleshette', 'https://m.media-amazon.com/images/M/MV5BMTYxOTA5NTg3M15BMl5BanBnXkFtZTYwMzY0MDA0._V1_UY317_CR16,0,214,317_AL_.jpg'], ['Miyu Irino', 'https://m.media-amazon.com/images/M/MV5BZjA4M2Q5NDItN2FjNi00NTg3LWE3MTEtOWM0NDJmODk1YjQwXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_UY317_CR16,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Family']",2h 5min,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
The Godfather (1972) ,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']","[['Marlon Brando', 'https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg'], ['Al Pacino', 'https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX214_CR0,0,214,317_AL_.jpg'], ['James Caan', 'https://m.media-amazon.com/images/M/MV5BMTI5NjkyNDQ3NV5BMl5BanBnXkFtZTcwNjY5NTQ0Mw@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama']",2h 55min,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Top Gun: Maverick (2020) ,"https://m.media-amazon.com/images/M/MV5BNTEyYTA5YWYtYmIxYS00NWRlLWExNjMtNjliZmVlZDgxNTBlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Joseph Kosinski'],"['Ehren Kruger', 'Eric Warren Singer']","[['Tom Cruise', 'https://m.media-amazon.com/images/M/MV5BMTk1MjM3NTU5M15BMl5BanBnXkFtZTcwMTMyMjAyMg@@._V1_UY317_CR14,0,214,317_AL_.jpg'], ['Jennifer Connelly', 'https://m.media-amazon.com/images/M/MV5BOTczNTgzODYyMF5BMl5BanBnXkFtZTcwNjk4ODk4Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Jean Louisa Kelly', 'https://m.media-amazon.com/images/M/MV5BYjA2NTIxODEtZDBjYy00OWY3LTg0MzgtOWI5Yzc3MDkwOWRiXkEyXkFqcGdeQXVyMjQ5MjIzNTk@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Drama']",---,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him."
Queen & Slim (2019) ,"https://m.media-amazon.com/images/M/MV5BMjIzYmJkZmEtM2RkZS00MDA4LTg4NjAtOGRkN2EwZmFmMWE4XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Melina Matsoukas'],"['Lena Waithe', 'James Frey']","[['Daniel Kaluuya', 'https://m.media-amazon.com/images/M/MV5BOTk1MzgzOTg5OV5BMl5BanBnXkFtZTcwNDQ4NjMxOA@@._V1_UY317_CR1,0,214,317_AL_.jpg'], ['Jodie Turner-Smith', 'https://m.media-amazon.com/images/M/MV5BOWQxMTEzYWUtMWFiYS00ZTUxLWI5ZmYtYWE0Y2M3OGQ1YTg2XkEyXkFqcGdeQXVyNjYxMzg1MjY@._V1_UY317_CR260,0,214,317_AL_.jpg'], ['Bokeem Woodbine', 'https://m.media-amazon.com/images/M/MV5BODY0MjQ0MDQyNl5BMl5BanBnXkFtZTgwMTgxNzQxNjM@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama', 'Romance']",2h 12min,A couple's first date takes an unexpected turn when a police officer pulls them over.
Us (2019) ,"https://m.media-amazon.com/images/M/MV5BZTliNWJhM2YtNDc1MC00YTk1LWE2MGYtZmE4M2Y5ODdlNzQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jordan Peele'],['Jordan Peele'],"[[""Lupita Nyong'o"", 'https://m.media-amazon.com/images/M/MV5BMTY0NTQ4MDY2Nl5BMl5BanBnXkFtZTgwNDk1MTEyMDE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Winston Duke', 'https://m.media-amazon.com/images/M/MV5BODgzMTk5MTEyOV5BMl5BanBnXkFtZTgwOTQyNzE2NzM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Elisabeth Moss', 'https://m.media-amazon.com/images/M/MV5BNTMwMDg1MDkyNV5BMl5BanBnXkFtZTcwNzEwMzg1Nw@@._V1_UY317_CR131,0,214,317_AL_.jpg']]","['Horror', 'Mystery', 'Thriller']",1h 56min,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
After (2019) ,"https://m.media-amazon.com/images/M/MV5BOGUwMjk3YzktNDI0Yy00MzFiLWFjNmEtYTA2ODVjMzNhODhjXkEyXkFqcGdeQXVyOTQ1MDI4MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jenny Gage'],"['Tom Betterton', 'Tamara Chestna']","[['Josephine Langford', 'https://m.media-amazon.com/images/M/MV5BN2MxMGRmYTItYjliNi00YTYxLTkyMGEtMzNmMmMyNjgzZTJhXkEyXkFqcGdeQXVyNTI0NDA1NTE@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Hero Fiennes Tiffin', 'https://m.media-amazon.com/images/M/MV5BMjI3MzkyMjE2M15BMl5BanBnXkFtZTgwNzIzODU0NzM@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Khadijha Red Thunder', 'https://m.media-amazon.com/images/M/MV5BMTYzMzYxMzM3MF5BMl5BanBnXkFtZTgwMzkwNzc4NzM@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Drama', 'Romance']",1h 45min,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
The Matrix 4 (2021) ,"https://m.media-amazon.com/images/M/MV5BN2I5NzlmMWYtYjIwYy00Y2ZiLWI0ODgtYjAxNDZiZGJlMjlhXkEyXkFqcGdeQXVyMzk1MDQ2MQ@@._V1_UY268_CR110,0,182,268_AL_.jpg",['Lana Wachowski'],"['Aleksandar Hemon', 'David Mitchell']","[['Keanu Reeves', 'https://m.media-amazon.com/images/M/MV5BNjUxNDcwMTg4Ml5BMl5BanBnXkFtZTcwMjU4NDYyOA@@._V1_UY317_CR15,0,214,317_AL_.jpg'], ['Yahya Abdul-Mateen II', 'https://m.media-amazon.com/images/M/MV5BMzAzZmFmMjAtYTE1Yy00ZWViLWE2YWYtYjUzZWE3MDVlMWIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Jonathan Groff', 'https://m.media-amazon.com/images/M/MV5BMTUzMDM1NzkxN15BMl5BanBnXkFtZTgwOTg0MzMwNDI@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Action', 'Sci-Fi']",---,The plot is currently unknown.
